Run_ID,Status,Cover_Density,Avg_Effectiveness,Distribution_Evenness,Clustering_Score,Type_Ratio,Sightline_Exposure,Symmetry_Delta,Navigable_Area,Chokepoint_Centrality
1,REJECTED,0.061,0.714,0.650,0.545,0.636,0.569,21.136,0.707,0.370
2,PASSED,0.061,0.625,0.667,0.833,0.583,0.498,8.554,0.666,0.510
3,REJECTED,0.053,0.659,0.631,0.690,0.548,0.652,22.903,0.732,0.200
4,PASSED,0.056,0.638,0.604,0.750,0.750,0.311,8.175,0.615,0.602
5,REJECTED,0.062,0.637,0.642,0.745,0.574,0.517,25.209,0.668,0.260
6,PASSED,0.070,0.612,0.694,0.714,0.696,0.314,14.904,0.564,0.360
7,REJECTED,0.069,0.624,0.586,0.771,0.583,0.369,21.556,0.606,0.310
8,REJECTED,0.071,0.602,0.668,0.759,0.759,0.239,10.157,0.540,0.467
9,REJECTED,0.069,0.630,0.632,0.759,0.667,0.312,19.237,0.597,0.420
10,PASSED,0.061,0.692,0.679,0.745,0.725,0.393,8.466,0.639,0.320
11,REJECTED,0.064,0.719,0.646,0.804,0.717,0.535,21.215,0.704,0.490
12,REJECTED,0.063,0.698,0.688,0.750,0.614,0.580,25.792,0.709,0.250
13,PASSED,0.070,0.747,0.687,0.604,0.813,0.411,12.539,0.654,0.580
14,REJECTED,0.072,0.612,0.709,0.818,0.673,0.379,15.757,0.607,0.630
15,REJECTED,0.066,0.607,0.715,0.836,0.727,0.250,15.156,0.550,0.610
16,PASSED,0.056,0.641,0.705,0.647,0.667,0.389,3.994,0.633,0.270
17,REJECTED,0.067,0.637,0.635,0.810,0.690,0.295,13.372,0.568,0.740
18,REJECTED,0.069,0.692,0.702,0.673,0.694,0.423,20.423,0.648,0.350
19,REJECTED,0.057,0.702,0.591,0.733,0.644,0.541,19.670,0.706,0.410
20,PASSED,0.071,0.676,0.710,0.679,0.717,0.356,11.313,0.608,0.270
21,REJECTED,0.059,0.682,0.702,0.612,0.755,0.511,30.843,0.688,0.360
22,REJECTED,0.058,0.634,0.657,0.529,0.745,0.318,16.759,0.607,0.520
23,REJECTED,0.051,0.659,0.688,0.714,0.714,0.367,23.270,0.624,0.360
24,REJECTED,0.060,0.672,0.605,0.611,0.759,0.314,38.059,0.602,0.530
25,PASSED,0.073,0.643,0.657,0.673,0.714,0.372,13.572,0.625,0.390
26,REJECTED,0.055,0.826,0.619,0.476,0.833,0.515,17.149,0.726,0.240
27,PASSED,0.060,0.647,0.658,0.609,0.630,0.380,11.719,0.638,0.590
28,PASSED,0.074,0.709,0.759,0.647,0.725,0.457,12.250,0.644,0.410
29,PASSED,0.062,0.749,0.590,0.674,0.804,0.412,7.763,0.652,0.170
30,PASSED,0.061,0.700,0.664,0.696,0.674,0.455,1.878,0.669,0.350
31,REJECTED,0.052,0.621,0.652,0.571,0.633,0.460,15.989,0.654,0.250
32,PASSED,0.063,0.672,0.700,0.673,0.692,0.436,6.036,0.639,0.500
33,REJECTED,0.061,0.697,0.666,0.452,0.643,0.571,23.915,0.713,0.160
34,REJECTED,0.077,0.682,0.642,0.804,0.765,0.367,21.813,0.623,0.390
35,PASSED,0.057,0.715,0.632,0.702,0.702,0.367,12.369,0.652,0.360
36,REJECTED,0.068,0.623,0.640,0.741,0.722,0.312,30.640,0.596,0.859
37,REJECTED,0.063,0.690,0.628,0.622,0.644,0.505,27.745,0.680,0.300
38,PASSED,0.067,0.670,0.670,0.731,0.712,0.407,2.242,0.629,0.590
39,PASSED,0.071,0.724,0.657,0.633,0.694,0.443,4.739,0.663,0.350
40,REJECTED,0.046,0.656,0.658,0.452,0.548,0.646,18.082,0.736,0.240
41,REJECTED,0.076,0.631,0.666,0.741,0.593,0.346,20.232,0.595,0.380
42,REJECTED,0.067,0.627,0.640,0.660,0.642,0.400,18.206,0.621,0.747
43,REJECTED,0.063,0.702,0.672,0.574,0.702,0.450,19.633,0.661,0.550
44,PASSED,0.067,0.625,0.622,0.680,0.720,0.356,6.835,0.615,0.600
45,PASSED,0.064,0.743,0.661,0.729,0.792,0.350,5.810,0.642,0.240
46,REJECTED,0.057,0.677,0.695,0.796,0.755,0.393,18.371,0.642,0.300
47,REJECTED,0.062,0.665,0.602,0.478,0.630,0.438,20.441,0.640,0.390
48,REJECTED,0.062,0.758,0.671,0.600,0.711,0.552,29.733,0.714,0.270
49,REJECTED,0.058,0.697,0.664,0.543,0.630,0.558,16.928,0.707,0.240
50,PASSED,0.063,0.712,0.712,0.630,0.696,0.489,7.303,0.681,0.290
